<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200210,00:00:00,228.5800000,229.7500000,224.4100000,225.2000000,50466570
20200211,00:00:00,226.5600000,236.1800000,226.0100000,233.9000000,95547840
20200212,00:00:00,235.2000000,239.8000000,234.5600000,238.0300000,83138320
20200213,00:00:00,236.9000000,237.9800000,233.5500000,233.5500000,41949600
20200214,00:00:00,233.7900000,235.4000000,230.9100000,232.5000000,34339380
20200217,00:00:00,233.4000000,234.5600000,231.9100000,233.7500000,20525270
20200218,00:00:00,232.9700000,233.2800000,229.8000000,230.5000000,30822280
20200219,00:00:00,231.8400000,233.5000000,230.7100000,231.9000000,24383830
20200220,00:00:00,232.5500000,235.7500000,232.0000000,234.6000000,33547100
20200221,00:00:00,233.2000000,233.7700000,231.6100000,232.0000000,29613730
20200225,00:00:00,227.9900000,230.0600000,224.6800000,224.6800000,51889790
20200226,00:00:00,223.3200000,225.4700000,220.8100000,224.7600000,63577060
20200227,00:00:00,220.9900000,223.4000000,216.8000000,217.5000000,82610580
20200228,00:00:00,210.0000000,211.9700000,200.5700000,202.6500000,168877890
20200302,00:00:00,207.9900000,211.9900000,195.5100000,198.7800000,151413660
20200303,00:00:00,204.7800000,205.2700000,198.0000000,201.4800000,104199970
20200304,00:00:00,199.9000000,204.4200000,198.2800000,200.0000000,78621910
20200305,00:00:00,203.0000000,203.4300000,197.5000000,198.0000000,65760320
20200306,00:00:00,193.4900000,194.2300000,185.1300000,188.2700000,131420850
20200310,00:00:00,169.4500000,185.8400000,161.0100000,171.0000000,203245560
20200311,00:00:00,173.9800000,175.8700000,167.3900000,172.0300000,108371760
20200312,00:00:00,163.4000000,167.8000000,161.2000000,163.7300000,150756610
20200313,00:00:00,164.0800000,175.6900000,164.0200000,166.1000000,142833320
20200316,00:00:00,163.5600000,169.9900000,158.1700000,168.0700000,115641980
20200317,00:00:00,168.9600000,175.5000000,164.5600000,167.0000000,108041540
20200318,00:00:00,164.9000000,170.4500000,162.0000000,166.3400000,105950660
20200319,00:00:00,168.7700000,175.2000000,164.0500000,174.5600000,121970230
20200320,00:00:00,179.9800000,184.6900000,176.1000000,176.2600000,139598470
20200323,00:00:00,171.0300000,172.2800000,168.0400000,168.3500000,108969290
20200324,00:00:00,174.3600000,179.9900000,172.6100000,177.9500000,89246570
20200325,00:00:00,182.8000000,186.9000000,175.2600000,180.2000000,114425820
20200326,00:00:00,179.4500000,184.9000000,177.2800000,181.5000000,53884430
20200327,00:00:00,181.2000000,181.3700000,172.0000000,174.5000000,55565750
20200330,00:00:00,171.9900000,177.6300000,170.5000000,176.4400000,47795640
20200331,00:00:00,178.5000000,184.6400000,178.0100000,181.4100000,69708850
20200401,00:00:00,178.0500000,181.3800000,177.5000000,180.0600000,40356500
20200402,00:00:00,183.8000000,190.0000000,180.2500000,187.0400000,87685660
20200403,00:00:00,187.0300000,193.8500000,185.7200000,189.7700000,92292440
20200406,00:00:00,192.2500000,193.4400000,189.4400000,191.1000000,62810660
20200407,00:00:00,192.7200000,195.1300000,189.8000000,191.2200000,66726560
20200408,00:00:00,189.7500000,194.1100000,188.1000000,194.1100000,49196260
20200409,00:00:00,195.6900000,196.2600000,189.8800000,193.8600000,84196490
20200410,00:00:00,191.8600000,192.4400000,190.5100000,192.0000000,16941950
20200413,00:00:00,192.2500000,192.3600000,186.0700000,188.0700000,28468270
20200414,00:00:00,189.5700000,191.7600000,188.3000000,190.1100000,50604120
20200415,00:00:00,189.1600000,189.4800000,182.5600000,184.2500000,53684360
20200416,00:00:00,185.1500000,189.1600000,182.7500000,184.3000000,56338120
20200417,00:00:00,187.0700000,187.8700000,183.5400000,184.6800000,38709150
20200420,00:00:00,184.1100000,186.2500000,183.0000000,185.5100000,34244800
20200421,00:00:00,183.1700000,184.5000000,179.0500000,181.9200000,66847460
20200422,00:00:00,181.0900000,188.5500000,180.3300000,188.3600000,48244280
20200423,00:00:00,189.9800000,191.5900000,187.5000000,188.7300000,39797620
